"","17","",SEVILLE,STREET,CAMBERWELL,"3124"
"","3","",BERWICK,STREET,CAMBERWELL,"3124"
"","14","",SUGARLOAF,CLOSE,BURWOOD EAST,"3151"
"","16","",HUTCHINSON,STREET,BURWOOD EAST,"3151"
"","31","",MILVERTON,STREET,CAMBERWELL,"3124"
"","10","",BRYNMAWR,ROAD,CAMBERWELL,"3124"
"","8","",ROCHDALE,DRIVE,BURWOOD EAST,"3151"
"","34","",PICKFORD,STREET,BURWOOD EAST,"3151"
"","60","",BRINSLEY,ROAD,CAMBERWELL,"3124"
"","17","",RUBY,STREET,BURWOOD EAST,"3151"
"","50","",MUDGEE,STREET,BURWOOD EAST,"3151"
"2","13","",IRWIN,STREET,CLAYTON,"3168"
"211","8","",POWER,AVENUE,ASHWOOD,"3147"
"404","6","",POWER,AVENUE,ASHWOOD,"3147"
"","99","",HILL,ROAD,BALWYN NORTH,"3104"
"","16","",URSA,STREET,BALWYN NORTH,"3104"
"","9","",KELBA,STREET,BALWYN NORTH,"3104"
"","11A","",BALFOUR,STREET,DONCASTER,"3108"
"","432","",WAVERLEY,ROAD,MOUNT WAVERLEY,"3149"
"","543","",MITCHAM,ROAD,VERMONT,"3133"
"5","34","36",EVA,STREET,CLAYTON,"3168"
"805","39","",KINGSWAY,,GLEN WAVERLEY,"3150"
"1","577","",CAMBERWELL,ROAD,CAMBERWELL,"3124"
"","20","",MOUNT,STREET,GLEN WAVERLEY,"3150"
"7","25","",HOWLEYS,ROAD,NOTTING HILL,"3168"
"2","105","",BURWOOD,HIGHWAY,BURWOOD EAST,"3151"
"","19","",HAROS,AVENUE,NUNAWADING,"3131"
"","39","",WESTGATE,STREET,OAKLEIGH,"3166"
"","51","",JEFFREY,DRIVE,RINGWOOD,"3134"
"","6","",RONALD,STREET,RINGWOOD,"3134"
"","11","",IRELAND,STREET,RINGWOOD,"3134"
"1","4","",BARDIA,STREET,RINGWOOD,"3134"
"","603","",STATION,STREET,BOX HILL,"3128"
"","5","",PEPPERMINT,GROVE,BOX HILL SOUTH,"3128"
"","12","",BLACKWOOD,DRIVE,WHEELERS HILL,"3150"
"3","33","35",THAMES,STREET,BOX HILL,"3128"
"","31","",AMBROSE,STREET,DONCASTER,"3108"
"","20","",SAGE,STREET,OAKLEIGH EAST,"3166"
"","37","41",OXFORD,STREET,OAKLEIGH,"3166"
"2","20","",PALMERSTON,GROVE,OAKLEIGH,"3166"
"","4","",GORDON,AVENUE,OAKLEIGH EAST,"3166"
"16","8","12",RUPERT,STREET,RINGWOOD,"3134"
"2","40","",MAIDSTONE,STREET,RINGWOOD,"3134"
"","2","",TUNBURY,AVENUE,RINGWOOD,"3134"
"2","211","",WANTIRNA,ROAD,RINGWOOD,"3134"
"","85","",MAIDSTONE,STREET,RINGWOOD,"3134"
"","10","",BARDIA,STREET,RINGWOOD,"3134"
"","123","",WANTIRNA,ROAD,RINGWOOD,"3134"
"","17","",WINGROVE,PLACE,RINGWOOD,"3134"
"","10","",LUCERNE,STREET,VERMONT,"3133"
"","19","",BRIXTON,RISE,GLEN IRIS,"3146"
"","59","",PROSPECT HILL,ROAD,CAMBERWELL,"3124"
"","53","",LARCH,CRESCENT,MOUNT WAVERLEY,"3149"
"","9","",WALLABAH,STREET,MOUNT WAVERLEY,"3149"
"9","420","",WHITEHORSE,ROAD,SURREY HILLS,"3127"
"","53","",HINKLER,ROAD,GLEN WAVERLEY,"3150"
"","8","",NORMAN,COURT,BOX HILL SOUTH,"3128"
"227B","1","",COLOMBO,STREET,MITCHAM,"3132"
"10","211","",WANTIRNA,ROAD,RINGWOOD,"3134"
"","507","",STATION,STREET,BOX HILL,"3128"
"","42","",HENRY,STREET,OAKLEIGH,"3166"
"212","29","",NELSON,STREET,RINGWOOD,"3134"
"","8","",FIONA,COURT,GLEN WAVERLEY,"3150"
"","80","",GLYNDON,ROAD,CAMBERWELL,"3124"
"33","100","",STATION,STREET,BURWOOD,"3125"
"","40","",TRISTANIA,STREET,DONCASTER EAST,"3109"
"3","5","",PEACE,STREET,GLEN IRIS,"3146"
"","148","",WONGA,ROAD,RINGWOOD,"3134"
"212","1","",FRANK,STREET,GLEN WAVERLEY,"3150"
"2","652","",SPRINGVALE,ROAD,MULGRAVE,"3170"
"","32","",LINDSAY,AVENUE,NUNAWADING,"3131"
"","5","",MANTOVA,DRIVE,WHEELERS HILL,"3150"
"","47","",YARRBAT,AVENUE,BALWYN,"3103"
"","130","",STATION,STREET,BURWOOD,"3125"
"","26","",DOYNTON,PARADE,MOUNT WAVERLEY,"3149"
"4","2","4",PIEDMONT,STREET,BOX HILL SOUTH,"3128"
"","10","",LILIAN,PARADE,RINGWOOD,"3134"
"2","11","13",BEACON,STREET,GLEN WAVERLEY,"3150"
"","25","",SUNHILL,AVENUE,RINGWOOD,"3134"
"","38","",HUNTINGFIELD,DRIVE,DONCASTER EAST,"3109"
"","40","",LANDSCAPE,DRIVE,DONCASTER EAST,"3109"
"","9","",COLLETT,AVENUE,RINGWOOD,"3134"
"","20","",DANIEN,STREET,GLEN WAVERLEY,"3150"
"","41","",MAIN,STREET,BOX HILL,"3128"
"1","15","",BALDWIN,ROAD,BLACKBURN,"3130"
"","1013","",BURKE,ROAD,CAMBERWELL,"3124"
"","693","",BURKE,ROAD,CAMBERWELL,"3124"
"4","2","4",COMPARK,CIRCUIT,MULGRAVE,"3170"
"","71","",MUYAN,CIRCUIT,BURWOOD,"3125"
"","469","",MITCHAM,ROAD,MITCHAM,"3132"
"","1","",ANDELANA,AVENUE,WHEELERS HILL,"3150"
"14","9","",ELM,ROAD,GLEN IRIS,"3146"
"","339","",HUNTINGDALE,ROAD,CHADSTONE,"3148"
"","25","",MARGOT,STREET,CHADSTONE,"3148"
"","23A","",KIERENS,WAY,CHADSTONE,"3148"
"","57","",OAKPARK,DRIVE,CHADSTONE,"3148"
"5","4","",SIMPSONS,ROAD,BOX HILL,"3128"
"5","3","",WILMA,AVENUE,MULGRAVE,"3170"
"","183","",WANTIRNA,ROAD,RINGWOOD,"3134"
